geocode,Distance2Center,minDist_subcenter,Build_Density,Urb_Build_Density,Pop_Density,Urb_Pop_Density,SF_share,m2cap,Pop_2018,transit_access,Car_HH,Car_cap,Inc_HH,Inc_cap,HH_size,share_65+,tCO2cap_res,tCO2cap_mob,tCO2cap_energy,Region,Country,pkm_cap_Car,pkm_cap_Transit,Pop_2017,city_size,Country_France,Country_Germany,Population,Income_cap_stand,City_Pop,clean_intersection_density_km,street_density_km,bike_lane_share
107,2.948443213,3.094158762,4798428.442,5058879.44,96.00709517,101.2182063,2.890711854,36.50337528,0,10.62809308,0.851079827,0.43261146,55334.33938,27193.50929,2.034836284,0.190112954,1.04729619,0.5916,1.63889619,Lyon,France,2361.1615,1286.1286,19962.54923,2,1,0,19962.54923,2,1332187.502,71.11001174,12932.42642,0.1171125
108,4.549578852,3.768580165,3409200.027,4589229.744,32.44033063,43.66893378,13.77788525,36.2257998,0,4.593314529,1.163098259,0.502606836,59553.40926,25846.28972,2.30413765,0.1713792,1.000370883,0.8769,1.877270883,Lyon,France,3596.1531,1540.2708,8894.277464,2,1,0,8894.277464,1,1332187.502,36.18414754,8414.658401,0.030766667
109,4.614225995,2.612541381,6018982.942,6218420.345,89.78673656,92.76179626,3.553943646,29.73289499,0,9.751821311,0.681786317,0.293810358,45133.80498,19191.63577,2.351743516,0.161332009,0.694011987,0.4868,1.180811987,Lyon,France,1702.9392,1491.1637,9642.174177,2,1,0,9642.174177,0,1332187.502,50.87545556,11459.65518,0.01575
110,3.534004294,3.682309128,7668292.322,9273851.932,91.91602819,111.1610773,1.50076917,31.21762495,0,17.17572054,0.662870752,0.372984336,44405.52912,21840.87425,2.033138812,0.111078358,0.719603607,0.6117,1.331303607,Lyon,France,2352.3643,1931.4011,13242.52681,2,1,0,13242.52681,1,1332187.502,55.33045868,11281.0976,0.085816667
111,2.710456586,3.985277089,4186848.501,4540749.564,58.62474803,63.58011257,3.346826515,33.14524278,0,19.17519846,0.957610974,0.470266035,49383.91483,23647.49097,2.088336344,0.1461123,0.751341025,0.6779,1.429241025,Lyon,France,2871.393,1501.2375,13166.66621,2,1,0,13166.66621,1,1332187.502,49.9038082,10585.53927,0.078585714
112,1.163374549,2.169116896,8837216.328,11097269.56,82.73119752,103.8890943,0.867765825,40.40693417,0,30.89244589,0.522408696,0.311762076,52267.59583,28206.03077,1.853064554,0.141012126,1.102197017,0.6836,1.785797017,Lyon,France,2893.0822,1441.5375,5380.482946,2,1,0,5380.482946,2,1332187.502,99.31936361,14768.92031,0.14255
113,1.133485741,3.068823479,4018435.117,4224980.181,52.45222551,55.14823726,5.734224561,36.82235801,0,17.48950171,0.763084168,0.44215545,55634.8749,26899.43449,2.068254443,0.18855889,1.100826797,0.4137,1.514526797,Lyon,France,1428.0382,1828.0817,11578.60018,2,1,0,11578.60018,2,1332187.502,57.83245063,10785.95026,0.036714286
114,2.577950886,4.433533188,3803164.148,3803164.148,76.52188879,76.52188879,4.782560683,36.75323,0,10.8928091,1.194095926,0.586141077,51740.16157,24662.00854,2.097970305,0.233896575,1.509446124,0.9678,2.477246124,Lyon,France,4094.1767,1083.6008,12666.94513,2,1,0,12666.94513,1,1332187.502,40.91121192,9340.534185,0.037966667
115,3.346402896,5.405942633,3238661.112,3238661.112,65.42265351,65.42265351,13.46616708,38.11030715,0,9.396836237,1.12159035,0.512310543,59221.29212,26981.6961,2.19486914,0.206662943,1.255065654,0.7026,1.957665654,Lyon,France,3048.4386,888.1175,10814.83721,2,1,0,10814.83721,2,1332187.502,37.34040789,8072.737608,0.0496
116,2.24967093,0.397962704,27475042.21,30705786.87,113.9587737,127.358997,0.173452513,34.41696355,0,46.66265714,0.59705136,0.338028177,50296.47883,26157.87107,1.922804753,0.136719633,0.60898989,0.4267,1.03568989,Lyon,France,1774.5396,1417.6547,9935.182526,2,1,0,9935.182526,1,1332187.502,122.5295898,19071.73428,0.04845
117,1.608892926,0.786978084,14476325.96,14476325.96,264.4563051,264.4563051,0.228855956,34.86069762,0,50.53250722,0.645541737,0.374965588,48985.47541,26060.1769,1.879706173,0.135505085,0.690590757,0.5548,1.245390757,Lyon,France,2330.677,1574.2396,12603.81522,2,1,0,12603.81522,1,1332187.502,132.9971468,19943.06312,0.07328
118,1.829029935,1.447413531,9640999.934,10025250.3,176.3815127,183.4113499,0.349544573,33.49813942,0,40.13571516,0.763231228,0.406310106,47357.15478,24923.24114,1.900120234,0.126306509,0.643501841,0.4339,1.077401841,Lyon,France,1817.3553,1137.5594,16689.23576,2,1,0,16689.23576,1,1332187.502,113.2746488,17659.3838,0.082042857
119,2.76768748,2.187020994,9735740.606,9735740.606,187.1268085,187.1268085,1.686518184,33.65845061,0,33.06057938,0.744958294,0.404015172,51383.21288,25968.54965,1.978670875,0.149456155,0.767277771,0.4567,1.223977771,Lyon,France,1872.0973,1626.2578,12949.67452,2,1,0,12949.67452,1,1332187.502,77.28240157,14289.25298,0.095475
120,3.493533198,2.830792885,7934509.718,7934509.718,129.0913342,129.0913342,2.866574151,33.25223103,0,32.75238096,0.727891118,0.374305755,50076.97083,25157.4853,1.990539604,0.15660387,0.680222384,0.5125,1.192722384,Lyon,France,2097.7563,1504.2051,11934.90001,2,1,0,11934.90001,1,1332187.502,69.03554464,13935.48443,0.1592
121,4.357211432,3.102745552,7094451.672,7094451.672,83.88399185,83.88399185,8.492299556,31.33787374,0,29.30308568,0.634809075,0.349592945,43598.52096,21575.55355,2.020737074,0.159131683,0.59814531,0.2242,0.82234531,Lyon,France,738.6315,2199.3731,13361.76923,2,1,0,13361.76923,1,1332187.502,66.19250448,13764.05387,0.10484
122,4.419551331,2.909096059,5645982.143,5670624.163,86.8252579,87.20420875,12.1191453,34.18149232,0,23.46962251,0.880306854,0.429692553,54151.4515,26123.66679,2.072888616,0.148214911,0.946373616,0.5426,1.488973616,Lyon,France,2079.7292,1865.6451,18705.69766,2,1,0,18705.69766,1,1332187.502,73.81928846,13308.71195,0.061644444
123,3.1829391,1.936043962,8247952.08,8317665.856,152.6095738,153.8994685,2.506902389,34.35487607,0,33.0060936,0.802638135,0.408247211,54302.57941,27231.07884,1.994139848,0.142662094,0.724275174,0.4355,1.159775174,Lyon,France,1739.2642,1359.2165,13312.60107,2,1,0,13312.60107,2,1332187.502,78.35364278,14236.79277,0.066825
